 
#BT Balkans reoverhaul

owner = Y39
controller = Y39
add_core = Y39
culture = bulgarian
religion = catholic
capital = "Vodena"
base_tax = 2
base_production = 2
base_manpower = 2
trade_goods = grain			#Later became a major industrial centre, but no clear information in the early period. Calling it grain due to rich Lower Vardar valley in the eastern part of the province.
is_city = yes
hre = no
add_local_autonomy = 10
discovered_by = muslim
discovered_by = ottoman
discovered_by = eastern
discovered_by = western
